complexity,loss,equation,score,sympy_format,lambda_format
1,0.004958845,0.0,0.0,0.0,PySRFunction(X=>0.0)
3,0.0023657281,x4 * 0.050927173,0.37004350573005135,x4*0.050927173,PySRFunction(X=>x4*0.050927173)
5,0.0017679597,(x15 * x3) * -0.040190615,0.14562983470935864,x15*x3*(-0.040190615),PySRFunction(X=>x15*x3*(-0.040190615))
7,0.0012307538,(x15 + 0.7357055) * (x3 * -0.03200464),0.18109967131918264,(x15 + 0.7357055)*x3*(-0.03200464),PySRFunction(X=>(x15 + 0.7357055)*x3*(-0.03200464))
9,0.00092380843,-0.029789533 * ((x13 + 0.600765) * (x3 - x1)),0.1434386914375547,-0.029789533*(-x1 + x3)*(x13 + 0.600765),PySRFunction(X=>-0.029789533*(-x1 + x3)*(x13 + 0.600765))
11,0.00090396026,(((x3 + 0.13479193) - x1) * (x15 + 0.6061311)) * -0.02984523,0.010859662028884288,(-x1 + x3 + 0.13479193)*(x15 + 0.6061311)*(-0.02984523),PySRFunction(X=>(-x1 + x3 + 0.13479193)*(x15 + 0.6061311)*(-0.02984523))
13,0.0007337432,(sin(x15) + ((x15 + 1.2140094) * (x3 + 0.35217604))) * -0.030236313,0.1043131478056075,((x15 + 1.2140094)*(x3 + 0.35217604) + sin(x15))*(-0.030236313),PySRFunction(X=>((x15 + 1.2140094)*(x3 + 0.35217604) + sin(x15))*(-0.030236313))
15,0.0006936474,(((x15 * -0.46386987) + (x3 - -2.2121158)) * ((x15 + 1.2422862) * -0.030145215)) + 0.060412195,0.028097670703012684,(x15*(-0.46386987) + x3 - 1*(-2.2121158))*(x15 + 1.2422862)*(-0.030145215) + 0.060412195,PySRFunction(X=>(x15*(-0.46386987) + x3 - 1*(-2.2121158))*(x15 + 1.2422862)*(-0.030145215) + 0.060412195)
17,0.00069152185,sin(((x3 + ((x15 * -0.45902622) - -2.2120426)) * (x15 + 1.2438725)) * -0.030460251) + 0.061057575,0.0015345068253224596,sin((x15*(-0.45902622) + x3 - 1*(-2.2120426))*(x15 + 1.2438725)*(-0.030460251)) + 0.061057575,PySRFunction(X=>sin((x15*(-0.45902622) + x3 - 1*(-2.2120426))*(x15 + 1.2438725)*(-0.030460251)) + 0.061057575)
19,0.0006726767,(sin((x3 + ((x15 * -0.42906976) - -2.2108269)) * ((x15 + 1.2157817) * -0.115272366)) + 0.21887313) * 0.29271224,0.013814960344320516,(sin((x15*(-0.42906976) + x3 - 1*(-2.2108269))*(x15 + 1.2157817)*(-0.115272366)) + 0.21887313)*0.29271224,PySRFunction(X=>(sin((x15*(-0.42906976) + x3 - 1*(-2.2108269))*(x15 + 1.2157817)*(-0.115272366)) + 0.21887313)*0.29271224)
25,0.0006701941,(((sin(x3 + ((x8 + x4) * (cos(x16) * 0.11078451))) - x1) - (x14 * -0.18470754)) * (x13 + 0.58991)) * -0.045739274,0.0006162426617012891,(-x1 - (-0.18470754)*x14 + sin(x3 + (x4 + x8)*cos(x16)*0.11078451))*(x13 + 0.58991)*(-0.045739274),PySRFunction(X=>(-x1 - (-0.18470754)*x14 + sin(x3 + (x4 + x8)*cos(x16)*0.11078451))*(x13 + 0.58991)*(-0.045739274))
27,0.0006520913,((x15 + 0.60243624) * -0.04724375) * (sin(x3 + ((x16 - ((cos(x15) * x4) - x8)) * 0.12331626)) - (x1 - (x14 * 0.16708094))),0.013691394562027283,(x15 + 0.60243624)*(-0.04724375)*(-(x1 - 0.16708094*x14) + sin(x3 + (x16 - (x4*cos(x15) - x8))*0.12331626)),PySRFunction(X=>(x15 + 0.60243624)*(-0.04724375)*(-(x1 - 0.16708094*x14) + sin(x3 + (x16 - (x4*cos(x15) - x8))*0.12331626)))
29,0.0006475564,(((sin(x3 + ((x16 - ((x4 * (cos(x13) - x9)) - x8)) * 0.085757814)) - x1) - (x14 * -0.18485181)) * -0.047445457) * (x13 + 0.5931119),0.003489344385338728,(-x1 - (-0.18485181)*x14 + sin(x3 + (x16 - (x4*(-x9 + cos(x13)) - x8))*0.085757814))*(-0.047445457)*(x13 + 0.5931119),PySRFunction(X=>(-x1 - (-0.18485181)*x14 + sin(x3 + (x16 - (x4*(-x9 + cos(x13)) - x8))*0.085757814))*(-0.047445457)*(x13 + 0.5931119))
31,0.00064184587,(((sin(x3 + ((x16 - (((x16 + x4) * (cos(x13) - x9)) - x8)) * 0.09194506)) - x1) - (x14 * -0.18936379)) * -0.048411578) * (x13 + 0.5953135),0.004428848521204539,(-x1 - (-0.18936379)*x14 + sin(x3 + (x16 - (-x8 + (x16 + x4)*(-x9 + cos(x13))))*0.09194506))*(-0.048411578)*(x13 + 0.5953135),PySRFunction(X=>(-x1 - (-0.18936379)*x14 + sin(x3 + (x16 - (-x8 + (x16 + x4)*(-x9 + cos(x13))))*0.09194506))*(-0.048411578)*(x13 + 0.5953135))
33,0.00063872914,((x15 + 0.61010426) * ((sin(x3 + (((x16 - ((-0.65474004 - x8) + (cos(x15) * x4))) - (x1 * x16)) * 0.121565655)) - x1) - (x14 * -0.1834486))) * -0.04678409,0.0024338567673173146,(x15 + 0.61010426)*(-x1 - (-0.1834486)*x14 + sin(x3 + (-x1*x16 + x16 - (x4*cos(x15) - x8 - 0.65474004))*0.121565655))*(-0.04678409),PySRFunction(X=>(x15 + 0.61010426)*(-x1 - (-0.1834486)*x14 + sin(x3 + (-x1*x16 + x16 - (x4*cos(x15) - x8 - 0.65474004))*0.121565655))*(-0.04678409))
35,0.0006323482,(x15 + 0.61173487) * (((sin(x3 + (((x16 - ((-0.6454213 - x8) + (x4 * cos(x13)))) - ((x16 + x4) * x1)) * 0.11594662)) - x1) - (x14 * -0.19132619)) * -0.047526922),0.005020145826666106,(x15 + 0.61173487)*(-x1 - (-0.19132619)*x14 + sin(x3 + (-x1*(x16 + x4) + x16 - (x4*cos(x13) - x8 - 0.6454213))*0.11594662))*(-0.047526922),PySRFunction(X=>(x15 + 0.61173487)*(-x1 - (-0.19132619)*x14 + sin(x3 + (-x1*(x16 + x4) + x16 - (x4*cos(x13) - x8 - 0.6454213))*0.11594662))*(-0.047526922))
37,0.00063216593,((sin(x3 + (((x16 - ((-0.6203066 - x8) + (x4 * cos(x13)))) - (x1 * (x16 + x4))) * 0.11594662)) - x1) - (x14 * -0.19132619)) * sin(-0.047562763 * (x15 + 0.61173487)),0.0001441423207048527,(-x1 - (-0.19132619)*x14 + sin(x3 + (-x1*(x16 + x4) + x16 - (x4*cos(x13) - x8 - 0.6203066))*0.11594662))*sin(-0.047562763*(x15 + 0.61173487)),PySRFunction(X=>(-x1 - (-0.19132619)*x14 + sin(x3 + (-x1*(x16 + x4) + x16 - (x4*cos(x13) - x8 - 0.6203066))*0.11594662))*sin(-0.047562763*(x15 + 0.61173487)))
39,0.0006320669,((sin(x3 + (0.11594662 * ((x16 - ((-0.6203066 - x8) + (x4 * cos(x13)))) - ((x16 + x4) * x1)))) - x1) - (x14 * -0.19132619)) * sin(sin((x15 + 0.61173487) * -0.04763469)),7.833209030220626e-05,(-x1 - (-0.19132619)*x14 + sin(x3 + 0.11594662*(-x1*(x16 + x4) + x16 - (x4*cos(x13) - x8 - 0.6203066))))*sin(sin((x15 + 0.61173487)*(-0.04763469))),PySRFunction(X=>(-x1 - (-0.19132619)*x14 + sin(x3 + 0.11594662*(-x1*(x16 + x4) + x16 - (x4*cos(x13) - x8 - 0.6203066))))*sin(sin((x15 + 0.61173487)*(-0.04763469))))
