complexity, loss      , score                 , equation                                                                                                       , sympy_format                                                                       , lambda_format
         1, 0.99927366, 0.0                   , theta                                                                                                          , theta                                                                              , PySRFunction(X=>theta)
         2, 0.99903095, 0.00024291591980405824, square(gamma_)                                                                                                 , gamma_**2                                                                          , PySRFunction(X=>gamma_**2)
         3, 0.9938195 , 0.005230158519659348  , (-0.072544016 - gamma_)                                                                                        , -gamma_ - 0.072544016                                                              , PySRFunction(X=>-gamma_ - 0.072544016)
         5, 0.99337196, 0.00022521232431545505, ((v_surge * gamma_v_sway_l) * -2.2947788e-5)                                                                   , -2.2947788e-5*gamma_v_sway_l*v_surge                                               , PySRFunction(X=>-2.2947788e-5*gamma_v_sway_l*v_surge)
         6, 0.99330187, 7.056014829482923e-05 , ((-0.072544016 - gamma_) - sin(dtheta))                                                                        , -gamma_ - sin(dtheta) - 0.072544016                                                , PySRFunction(X=>-gamma_ - sin(dtheta) - 0.072544016)
         7, 0.9925487 , 0.0007585364654231528 , ((-0.072544016 - gamma_) - (dtheta * 0.5401524))                                                               , -0.5401524*dtheta - gamma_ - 0.072544016                                           , PySRFunction(X=>-0.5401524*dtheta - gamma_ - 0.072544016)
         8, 0.9925299 , 1.8941315472941468e-05, ((-0.072544016 - gamma_) - (sin(dtheta) * 0.5401524))                                                          , -gamma_ - 0.5401524*sin(dtheta) - 0.072544016                                      , PySRFunction(X=>-gamma_ - 0.5401524*sin(dtheta) - 0.072544016)
         9, 0.99198735, 0.0005467828647165238 , ((-0.072544016 - gamma_) - (neg(sin(theta_v_surge)) * dgamma))                                                 , dgamma*sin(theta_v_surge) - gamma_ - 0.072544016                                   , PySRFunction(X=>dgamma*sin(theta_v_surge) - gamma_ - 0.072544016)
        10, 0.9917573 , 0.00023193509409729791, ((-0.072544016 - gamma_) - (sin(theta - theta_v_surge) * dgamma))                                              , -dgamma*sin(theta - theta_v_surge) - gamma_ - 0.072544016                          , PySRFunction(X=>-dgamma*sin(theta - theta_v_surge) - gamma_ - 0.072544016)
        11, 0.99175465, 2.672028267811603e-06 , ((-0.072544016 - gamma_) - sin(sin(theta - theta_v_surge) * dgamma))                                           , -gamma_ - sin(dgamma*sin(theta - theta_v_surge)) - 0.072544016                     , PySRFunction(X=>-gamma_ - sin(dgamma*sin(theta - theta_v_surge)) - 0.072544016)
        12, 0.99093103, 0.0008308125243282932 , ((-0.072544016 - gamma_) - (sin((theta / 0.17925373) - theta_v_surge) * dgamma))                               , -dgamma*sin(5.57868447144726*theta - theta_v_surge) - gamma_ - 0.072544016         , PySRFunction(X=>-dgamma*sin(5.57868447144726*theta - theta_v_surge) - gamma_ - 0.072544016)
        14, 0.99075866, 8.698132775505491e-05 , ((-0.072544016 - gamma_) - (sin(((1.4749657 * theta) / 0.17925373) - theta_v_surge) * dgamma))                 , -dgamma*sin(8.22836824650734*theta - theta_v_surge) - gamma_ - 0.072544016         , PySRFunction(X=>-dgamma*sin(8.22836824650734*theta - theta_v_surge) - gamma_ - 0.072544016)
        15, 0.9904061 , 0.0003559118462431696 , ((-0.072544016 - gamma_) - (sin(((1.4749657 * theta) / dgamma) - sin(theta_v_surge)) * dgamma))                , dgamma*sin(sin(theta_v_surge) - 1.4749657*theta/dgamma) - gamma_ - 0.072544016     , PySRFunction(X=>dgamma*sin(sin(theta_v_surge) - 1.4749657*theta/dgamma) - gamma_ - 0.072544016)
        16, 0.99039316, 1.3065432991072295e-05, ((-0.072544016 - gamma_) - (sin(((1.4749657 * sin(theta)) / dgamma) - sin(theta_v_surge)) * dgamma))           , dgamma*sin(sin(theta_v_surge) - 1.4749657*sin(theta)/dgamma) - gamma_ - 0.072544016, PySRFunction(X=>dgamma*sin(sin(theta_v_surge) - 1.4749657*sin(theta)/dgamma) - gamma_ - 0.072544016)
        17, 0.9903167 , 7.720464423587134e-05 , ((-0.072544016 - gamma_) - (sin((((1.4749657 + -0.38177544) * theta) / dgamma) - sin(theta_v_surge)) * dgamma)), dgamma*sin(sin(theta_v_surge) - 1.09319026*theta/dgamma) - gamma_ - 0.072544016    , PySRFunction(X=>dgamma*sin(sin(theta_v_surge) - 1.09319026*theta/dgamma) - gamma_ - 0.072544016)
